chamber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.1438489308525406,2.1538461538461533,2.3048951048951047,1.786600496277916,1.1804195804195805,1.5384615384615392,1.215161649944258,0.7470946319867184,1.6439877811718968,1.4609850581073605,1.0846707249584948,1.7874930824571105,1.1607886698139402,1.4167127836192595,1.4384893085254087,1.5884476534296028,1.6332218506131553,1.2894299944659655,1.7892976588628755,1.4829214107192443
2,2.721466259372396,2.20879120879121,1.0405594405594405,1.4998621450234362,1.5776223776223766,1.0201268265784385,1.4882943143812715,1.8594355285002775,1.3107470147181344,1.1234089651355834,0.9186496956281122,1.5993359158826774,0.5665093029713968,0.9573879358052021,0.8553179672313248,0.7331296861982781,1.170568561872911,1.5163254012174883,0.8138238573021183,1.1996667592335457
3,2.266037211885587,2.3791208791208787,2.2993006993006992,2.360077198786876,1.8573426573426575,1.7866004962779156,2.157190635451505,2.097399003873824,0.7053596223271312,2.1914775871610397,2.451577199778639,2.3076923076923075,2.471535684532074,2.722744881018262,2.349347403499028,2.032768675367953,1.6053511705685621,2.136137244050913,2.0568561872909696,1.560677589558456
4,2.2160510969175227,2.027472527472528,1.8293706293706289,2.28287841191067,1.538461538461538,1.5660325337744692,1.2597547380156071,2.080796900940786,1.4107192446542627,1.6685113447703375,1.081903707802988,1.6325401217487538,1.3107470147181344,1.870503597122303,1.183004720910858,1.6384337683976664,1.2541806020066886,1.9756502490315433,0.45707915273132593,1.471813385170786
5,2.1938350458206046,2.241758241758241,1.8461538461538465,2.3545629997242896,0.47552447552447574,2.0953956437827412,0.3678929765886286,1.7155506364139461,0.33324076645376277,0.4316546762589933,0.21582733812949642,1.466519092418373,0.12218828103304656,1.2008854454897615,0.05554012774229382,1.7050819216884192,0.5239687848383499,0.0,0.35117056856187256,1.7217439600111082
6,3.487920022216051,2.395604395604395,1.913286713286713,2.382133995037221,2.1594405594405597,1.8748276812792946,1.4659977703455964,1.6325401217487552,1.6884198833657311,1.9811842833425557,1.178749308245711,1.870503597122302,1.0274923632324353,1.4775871610403983,1.0996945292974176,1.9827825603998888,1.4102564102564108,1.615938018815717,1.2151616499442581,1.7661760622049438
7,2.1549569564009987,2.0054945054945055,1.8517482517482515,1.9630548662806722,1.5160839160839161,1.411634960022057,1.4269788182831658,1.4941892639734362,1.743960011108026,1.6546762589928057,1.4997232982844493,1.6768123962368564,0.2777006387114702,0.774764803541782,0.6775895584559848,1.7717300749791731,0.8472686733556294,1.4333148865522962,0.8639910813823859,1.4940294362677045
8,1.8328242154956953,2.1153846153846154,1.6279720279720284,2.3049352081610146,1.605594405594406,1.9299696719051567,1.9230769230769234,2.042058660763696,1.699527908914191,2.0033204205866078,1.6768123962368569,2.058660763696736,1.0552624271035833,1.8262313226342002,1.1330186059427936,1.3274090530408222,1.460423634336677,1.4720531267293844,0.919732441471572,1.8661482921410715
9,2.2826992502082764,1.7857142857142854,1.622377622377622,2.078853046594982,1.3482517482517486,1.8582850840915368,1.1817168338907467,1.7100166021029326,1.5773396278811451,1.5882678472606517,1.317100166021027,1.6214720531267297,1.4773673979450148,1.4886552296624238,1.194112746459318,1.9161344071091366,1.1594202898550725,1.2921970116214712,1.81438127090301,1.3718411552346572
10,2.3715634545959463,2.5384615384615383,2.103496503496503,2.045767852219465,1.9132867132867142,1.8086572925282598,1.856187290969899,1.8815716657443284,1.1441266314912526,2.0475926950747088,0.9241837299391256,1.6657443276148316,0.1221882810330466,2.2025456557830663,0.2554845876145515,1.682865870591503,1.6220735785953182,1.6463752075262865,1.4743589743589747,1.563454595945569
11,2.5770619272424327,1.637362637362637,2.0475524475524485,2.21119382409705,1.4433566433566436,2.051282051282052,1.4325529542920843,1.7487548422800225,1.027492363232436,1.3392363032650807,0.5589374654122856,0.8577753182069728,0.0,0.4316546762589928,0.5276312135517911,0.5498472646487089,0.36231884057971026,0.7581627006087444,0.17837235228539572,1.094140516523188
12,1.5273535129130802,2.1043956043956045,2.1706293706293707,1.7480011028398124,1.3202797202797212,1.1138682106424036,1.5440356744704584,1.3447703375760915,1.3718411552346563,1.411178749308246,1.0514665190924184,2.042058660763697,0.6276034434879203,0.9020475926950745,1.0497084143293525,2.093862815884476,1.1426978818283173,1.0846707249584944,1.1315496098104794,0.971952235490142
13,2.2271591224659817,1.554945054945054,1.1076923076923073,1.3564929693961956,1.2307692307692308,1.7921146953405018,1.3600891861761426,1.8649695628112906,0.8497639544570945,1.7044825677919206,0.6640841173215274,1.6989485334809085,0.960844209941683,1.1400110680686206,0.8164398778117185,0.3610108303249098,1.0702341137123752,1.5218594355285002,1.3266443701226316,1.3996112191058032
