chamber,epoch_id,epoch_step,average_speed
13,9,Gap,0.8497639544570945
14,9,Gap,0.971952235490142
15,9,Gap,0.011108025548458824
16,9,Gap,2.638156067758956
17,9,Gap,2.0327686753679535
18,9,Gap,2.68814218272702
19,9,Gap,0.7886698139405725
20,9,Gap,1.0386003887808948
1,10,Shock #5,1.4609850581073605
2,10,Shock #5,1.1234089651355834
3,10,Shock #5,2.1914775871610397
4,10,Shock #5,1.6685113447703375
5,10,Shock #5,0.4316546762589933
6,10,Shock #5,1.9811842833425557
7,10,Shock #5,1.6546762589928057
8,10,Shock #5,2.0033204205866078
9,10,Shock #5,1.5882678472606517
10,10,Shock #5,2.0475926950747088
11,10,Shock #5,1.3392363032650807
12,10,Shock #5,1.411178749308246
13,10,Shock #5,1.7044825677919206
14,10,Shock #5,0.49806308799114585
15,10,Shock #5,1.8649695628112901
16,10,Shock #5,2.174875484228002
17,10,Shock #5,2.119535141117875
18,10,Shock #5,2.8610957387935803
19,10,Shock #5,2.1472053126729387
20,10,Shock #5,1.3669064748201434
1,11,Gap,1.0846707249584948
2,11,Gap,0.9186496956281122
3,11,Gap,2.451577199778639
4,11,Gap,1.081903707802988
5,11,Gap,0.21582733812949642
6,11,Gap,1.178749308245711
7,11,Gap,1.4997232982844493
8,11,Gap,1.6768123962368569
9,11,Gap,1.317100166021027
10,11,Gap,0.9241837299391256
11,11,Gap,0.5589374654122856
12,11,Gap,1.0514665190924184
13,11,Gap,0.6640841173215274
14,11,Gap,0.5755395683453239
15,11,Gap,0.9463198671831766
16,11,Gap,1.7764250138350857
17,11,Gap,1.710016602102933
18,11,Gap,2.130603209739901
19,11,Gap,1.3724405091311562
20,11,Gap,1.1455451023796341
1,12,Shock #6,1.7874930824571105
2,12,Shock #6,1.5993359158826774
3,12,Shock #6,2.3076923076923075
4,12,Shock #6,1.6325401217487538
5,12,Shock #6,1.466519092418373
6,12,Shock #6,1.870503597122302
7,12,Shock #6,1.6768123962368564
8,12,Shock #6,2.058660763696736
9,12,Shock #6,1.6214720531267297
10,12,Shock #6,1.6657443276148316
11,12,Shock #6,0.8577753182069728
12,12,Shock #6,2.042058660763697
13,12,Shock #6,1.6989485334809085
14,12,Shock #6,0.6917542888765921
15,12,Shock #6,0.3818483674598783
16,12,Shock #6,2.346430547869397
17,12,Shock #6,2.2523519645821803
18,12,Shock #6,3.2318760376314337
19,12,Shock #6,2.5401217487548418
20,12,Shock #6,1.6159380188157164
1,13,Gap,1.1607886698139402
2,13,Gap,0.5665093029713968
3,13,Gap,2.471535684532074
4,13,Gap,1.3107470147181344
5,13,Gap,0.12218828103304656
6,13,Gap,1.0274923632324353
7,13,Gap,0.2777006387114702
8,13,Gap,1.0552624271035833
9,13,Gap,1.4773673979450148
10,13,Gap,0.1221882810330466
11,13,Gap,0.0
12,13,Gap,0.6276034434879203
13,13,Gap,0.960844209941683
14,13,Gap,1.210774784782005
15,13,Gap,1.110802554845876
16,13,Gap,2.143848930852541
17,13,Gap,1.732851985559566
18,13,Gap,2.0883088031102477
19,13,Gap,0.8219938905859487
20,13,Gap,1.066370452652041
1,14,Shock #7,1.4167127836192595
2,14,Shock #7,0.9573879358052021
3,14,Shock #7,2.722744881018262
4,14,Shock #7,1.870503597122303
5,14,Shock #7,1.2008854454897615
6,14,Shock #7,1.4775871610403983
7,14,Shock #7,0.774764803541782
8,14,Shock #7,1.8262313226342002
9,14,Shock #7,1.4886552296624238
10,14,Shock #7,2.2025456557830663
11,14,Shock #7,0.4316546762589928
12,14,Shock #7,0.9020475926950745
13,14,Shock #7,1.1400110680686206
14,14,Shock #7,1.0514665190924188
15,14,Shock #7,1.6546762589928066
16,14,Shock #7,1.364139457664638
17,14,Shock #7,2.5677919203099053
18,14,Shock #7,3.0049806308799116
19,14,Shock #7,2.302158273381295
20,14,Shock #7,1.7487548422800223
1,15,Gap,1.4384893085254087
2,15,Gap,0.8553179672313248
3,15,Gap,2.349347403499028
4,15,Gap,1.183004720910858
5,15,Gap,0.05554012774229382
6,15,Gap,1.0996945292974176
7,15,Gap,0.6775895584559848
8,15,Gap,1.1330186059427936
9,15,Gap,1.194112746459318
10,15,Gap,0.2554845876145515
11,15,Gap,0.5276312135517911
12,15,Gap,1.0497084143293525
13,15,Gap,0.8164398778117185
14,15,Gap,1.3996112191058034
15,15,Gap,1.0996945292974174
16,15,Gap,0.7747847820049987
17,15,Gap,2.96028880866426
18,15,Gap,2.7270202721466252
19,15,Gap,1.1996667592335462
20,15,Gap,1.0219383504582062
1,16,Shock #8,1.5884476534296028
2,16,Shock #8,0.7331296861982781
3,16,Shock #8,2.032768675367953
4,16,Shock #8,1.6384337683976664
5,16,Shock #8,1.7050819216884192
6,16,Shock #8,1.9827825603998888
7,16,Shock #8,1.7717300749791731
8,16,Shock #8,1.3274090530408222
9,16,Shock #8,1.9161344071091366
10,16,Shock #8,1.682865870591503
11,16,Shock #8,0.5498472646487089
12,16,Shock #8,2.093862815884476
13,16,Shock #8,0.3610108303249098
14,16,Shock #8,1.4607053596223278
15,16,Shock #8,2.0161066370452647
16,16,Shock #8,0.294362677034157
17,16,Shock #8,2.3604554290474873
18,16,Shock #8,2.1401462556697215
19,16,Shock #8,1.6662038322688142
20,16,Shock #8,1.0719244654262712
1,17,Gap,1.6332218506131553
2,17,Gap,1.170568561872911
3,17,Gap,1.6053511705685621
4,17,Gap,1.2541806020066886
5,17,Gap,0.5239687848383499
6,17,Gap,1.4102564102564108
7,17,Gap,0.8472686733556294
8,17,Gap,1.460423634336677
9,17,Gap,1.1594202898550725
10,17,Gap,1.6220735785953182
11,17,Gap,0.36231884057971026
12,17,Gap,1.1426978818283173
13,17,Gap,1.0702341137123752
14,17,Gap,1.0535117056856198
15,17,Gap,0.6856187290969895
16,17,Gap,1.4214046822742474
17,17,Gap,1.3210702341137128
18,17,Gap,0.9810479375696771
19,17,Gap,1.2987736900780376
20,17,Gap,1.304347826086956
1,18,Shock #9,1.2894299944659655
2,18,Shock #9,1.5163254012174883
3,18,Shock #9,2.136137244050913
4,18,Shock #9,1.9756502490315433
5,18,Shock #9,0.0
6,18,Shock #9,1.615938018815717
7,18,Shock #9,1.4333148865522962
8,18,Shock #9,1.4720531267293844
9,18,Shock #9,1.2921970116214712
10,18,Shock #9,1.6463752075262865
11,18,Shock #9,0.7581627006087444
12,18,Shock #9,1.0846707249584944
13,18,Shock #9,1.5218594355285002
14,18,Shock #9,1.5384615384615388
15,18,Shock #9,1.2174875484228003
16,18,Shock #9,1.3945766463752076
17,18,Shock #9,1.9867183176535692
18,18,Shock #9,2.130603209739901
19,18,Shock #9,2.019922523519646
20,18,Shock #9,1.9535141117874932
1,19,Gap,1.7892976588628755
2,19,Gap,0.8138238573021183
3,19,Gap,2.0568561872909696
4,19,Gap,0.45707915273132593
5,19,Gap,0.35117056856187256
6,19,Gap,1.2151616499442581
7,19,Gap,0.8639910813823859
8,19,Gap,0.919732441471572
9,19,Gap,1.81438127090301
10,19,Gap,1.4743589743589747
11,19,Gap,0.17837235228539572
12,19,Gap,1.1315496098104794
13,19,Gap,1.3266443701226316
14,19,Gap,0.3734671125975471
15,19,Gap,0.8361204013377925
16,19,Gap,1.599777034559643
17,19,Gap,1.89520624303233
18,19,Gap,1.176142697881828
19,19,Gap,0.4960981047937567
20,19,Gap,1.3823857302118168
1,20,Shock #10,1.4829214107192443
2,20,Shock #10,1.1996667592335457
3,20,Shock #10,1.560677589558456
4,20,Shock #10,1.471813385170786
5,20,Shock #10,1.7217439600111082
6,20,Shock #10,1.7661760622049438
7,20,Shock #10,1.4940294362677045
8,20,Shock #10,1.8661482921410715
9,20,Shock #10,1.3718411552346572
10,20,Shock #10,1.563454595945569
11,20,Shock #10,1.094140516523188
12,20,Shock #10,0.971952235490142
13,20,Shock #10,1.3996112191058032
14,20,Shock #10,1.232990835878923
15,20,Shock #10,0.7109136351013607
16,20,Shock #10,2.2808479126168657
17,20,Shock #10,1.8383782282699253
18,20,Shock #10,2.732574284920856
19,20,Shock #10,2.1605109691752284
20,20,Shock #10,1.0497084143293531
