epoch_id,epoch_step,mean_speed,sem_speed,n_flies
1,Gap,2.3740627603443487,0.09651632785969118,20
2,Shock #1,2.1821428571428565,0.1354166818429445,20
3,Gap,2.0163170163170165,0.13244542823398506,20
4,Shock #2,2.131054131054131,0.11050580947034576,20
5,Gap,1.6763636363636365,0.14803980655921506,20
6,Shock #3,1.8293355390129584,0.12444064844294221,20
7,Gap,1.5576923076923077,0.12514719392732518,20
8,Shock #4,1.931285740638259,0.13850594872902514,20
9,Gap,1.3337961677311858,0.15078929346085063,20
10,Shock #5,1.6819313779745433,0.12862413178426726,20
11,Gap,1.214028776978417,0.12258802742454017,20
12,Shock #6,1.7672938572219148,0.14404011699703415,20
13,Gap,1.0677589558455984,0.15339423314880646,20
14,Shock #7,1.6052850027670171,0.15313098080043155,20
15,Gap,1.1909191891141349,0.164631389670113,20
16,Shock #8,1.5196704619087291,0.13680398345230885,20
17,Gap,1.1663879598662208,0.07858280665429238,20
18,Shock #9,1.4991698948533478,0.11396027291205582,20
19,Gap,1.107580824972129,0.12596051205665082,20
20,Shock #10,1.5485050448949365,0.10702397712761416,20
